SiteCode,Species,Length_mm,Wt_g,logW,logL,Date,HUC12Watershed
Buck.Cedar,Blacknose Dace,48,0.8,-0.096910013,1.681241237,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Sculpin spp.,74,5.2,0.716003344,1.86923172,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Blacknose Dace,59,1.8,0.255272505,1.770852012,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Blacknose Dace,62,2.1,0.322219295,1.792391689,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Sculpin spp.,65,3,0.477121255,1.812913357,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Sculpin spp.,92,7.5,0.875061263,1.963787827,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Blacknose Dace,52,1.1,0.041392685,1.716003344,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Sculpin spp.,96,9.8,0.991226076,1.982271233,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Sculpin spp.,78,5.3,0.72427587,1.892094603,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Sculpin spp.,75,4.3,0.633468456,1.875061263,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Blacknose Dace,82,5.3,0.72427587,1.913813852,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Sculpin spp.,72,4,0.602059991,1.857332496,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Sculpin spp.,98,7.5,0.875061263,1.991226076,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Sculpin spp.,93,8.3,0.919078092,1.968482949,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Blacknose Dace,37,0.4,-0.397940009,1.568201724,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Sculpin spp.,90,7.8,0.892094603,1.954242509,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Sculpin spp.,88,7.1,0.851258349,1.944482672,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Blacknose Dace,41,0.8,-0.096910013,1.612783857,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Blacknose Dace,43,0.6,-0.22184875,1.633468456,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Blacknose Dace,83,5.7,0.755874856,1.919078092,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Sculpin spp.,88,8.8,0.944482672,1.944482672,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Blacknose Dace,45,0.8,-0.096910013,1.653212514,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Sculpin spp.,85,6.9,0.838849091,1.929418926,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Blacknose Dace,64,2.2,0.342422681,1.806179974,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Blacknose Dace,62,2,0.301029996,1.792391689,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Blacknose Dace,44,0.7,-0.15490196,1.643452676,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Blacknose Dace,62,1.8,0.255272505,1.792391689,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Sculpin spp.,85,5.6,0.748188027,1.929418926,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Sculpin spp.,65,2.7,0.431363764,1.812913357,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Blacknose Dace,61,2,0.301029996,1.785329835,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Blacknose Dace,92,5.5,0.740362689,1.963787827,7/11/2023,020502050602 Cedar Run
Cedar.Pine,Sculpin spp.,98,10.9,1.037426498,1.991226076,7/11/2023,020502050602 Cedar Run
Cedar.Pine,Sculpin spp.,83,5.6,0.748188027,1.919078092,7/11/2023,020502050602 Cedar Run
Cedar.Pine,Sculpin spp.,85,6.5,0.812913357,1.929418926,7/11/2023,020502050602 Cedar Run
Cedar.Pine,Sculpin spp.,97,10.7,1.029383778,1.986771734,7/11/2023,020502050602 Cedar Run
Cedar.Pine,Sculpin spp.,76,5.1,0.707570176,1.880813592,7/11/2023,020502050602 Cedar Run
Cedar.Pine,Sculpin spp.,73,4.1,0.612783857,1.86332286,7/11/2023,020502050602 Cedar Run
Cedar.Pine,Sculpin spp.,66,2.9,0.462397998,1.819543936,7/11/2023,020502050602 Cedar Run
Cedar.Pine,Sculpin spp.,110,16.3,1.212187604,2.041392685,7/11/2023,020502050602 Cedar Run
Cedar.Pine,Sculpin spp.,96,8.7,0.939519253,1.982271233,7/11/2023,020502050602 Cedar Run
Cedar.Pine,Sculpin spp.,87,7.4,0.86923172,1.939519253,7/11/2023,020502050602 Cedar Run
Cedar.Pine,Sculpin spp.,91,8.5,0.929418926,1.959041392,7/11/2023,020502050602 Cedar Run
Cedar.Pine,Sculpin spp.,90,8,0.903089987,1.954242509,7/11/2023,020502050602 Cedar Run
Cedar.Pine,Sculpin spp.,82,6.7,0.826074803,1.913813852,7/11/2023,020502050602 Cedar Run
Cedar.Pine,Sculpin spp.,93,9.3,0.968482949,1.968482949,7/11/2023,020502050602 Cedar Run
Cedar.Pine,Sculpin spp.,85,6.4,0.806179974,1.929418926,7/11/2023,020502050602 Cedar Run
Cedar.Pine,Sculpin spp.,96,10,1,1.982271233,7/11/2023,020502050602 Cedar Run
Cedar.Pine,Sculpin spp.,106,12.2,1.086359831,2.025305865,7/11/2023,020502050602 Cedar Run
Cedar.Pine,Sculpin spp.,63,2.6,0.414973348,1.799340549,7/11/2023,020502050602 Cedar Run
Cedar.Pine,Sculpin spp.,93,9.3,0.968482949,1.968482949,7/11/2023,020502050602 Cedar Run
Cedar.Pine,Sculpin spp.,101,11.1,1.045322979,2.004321374,7/11/2023,020502050602 Cedar Run
Cedar.Pine,Sculpin spp.,89,7.7,0.886490725,1.949390007,7/11/2023,020502050602 Cedar Run
Cedar.Pine,Sculpin spp.,95,9.1,0.959041392,1.977723605,7/11/2023,020502050602 Cedar Run
Cedar.Pine,Sculpin spp.,60,2.1,0.322219295,1.77815125,7/11/2023,020502050602 Cedar Run
Cedar.Pine,Sculpin spp.,65,2.9,0.462397998,1.812913357,7/11/2023,020502050602 Cedar Run
Cedar.Pine,Sculpin spp.,107,14.6,1.164352856,2.029383778,7/11/2023,020502050602 Cedar Run
Cedar.Pine,Sculpin spp.,79,4.9,0.69019608,1.897627091,7/11/2023,020502050602 Cedar Run
Cedar.Pine,Sculpin spp.,70,4.1,0.612783857,1.84509804,7/11/2023,020502050602 Cedar Run
Cedar.Pine,Sculpin spp.,82,5.6,0.748188027,1.913813852,7/11/2023,020502050602 Cedar Run
Cedar.Pine,Sculpin spp.,52,1.4,0.146128036,1.716003344,7/11/2023,020502050602 Cedar Run
Cedar.Pine,Sculpin spp.,98,9.6,0.982271233,1.991226076,7/11/2023,020502050602 Cedar Run
Coal.Loyalsock,Blacknose Dace,75,3.5,0.544068044,1.875061263,6/30/2022,020502060304 Little Loyalsock Creek-Loyalsock Creek
Coal.Loyalsock,Blacknose Dace,49,0.94,-0.026872146,1.69019608,6/24/2025,020502060304 Little Loyalsock Creek-Loyalsock Creek
Coal.Loyalsock,Blacknose Dace,46,0.8,-0.096910013,1.662757832,6/24/2025,020502060304 Little Loyalsock Creek-Loyalsock Creek
CR0-SY,Longnose Dace,53,1.4,0.146128036,1.72427587,6/3/2022,020502061005 Buffalo Creek
CR0-SY,Sculpin spp.,72,4.8,0.681241237,1.857332496,6/3/2022,020502061005 Buffalo Creek
CR0-SY,Sculpin spp.,74,5.3,0.72427587,1.86923172,6/3/2022,020502061005 Buffalo Creek
CR0-SY,Sculpin spp.,64,3.5,0.544068044,1.806179974,6/3/2022,020502061005 Buffalo Creek
CR0-SY,Blacknose Dace,54,1.4,0.146128036,1.73239376,6/3/2022,020502061005 Buffalo Creek
CR0-SY,Blacknose Dace,68,3.4,0.531478917,1.832508913,6/3/2022,020502061005 Buffalo Creek
