"","species","count","mean_length","min_length","max_length","mean_weight","min_weight","max_weight","a","a_2.5","a_97.5","b","b_2.5","b_97.5","Adj R2","p-value_a","p-value_b"
"ab_row_temp","Fantail Darter","16","66.375","53","75","2.538125","1.25","3.8","0.000113289710140841","2.16672495520342e-06","0.005923482993526","2.38215936637781","1.43834679592489","3.32597193683073","0.653617836806954","0.000223653089344167","9.13818015906848e-05"
"ab_row_temp","Fathead Minnow","38","64.2894736842105","48","74","2.91342105263158","1.42","4.69","9.62227949826025e-06","7.40504560176281e-07","0.000125034021020206","3.02144058418476","2.40498071783626","3.63790045053326","0.725536759249015","6.5729576068447e-11","7.28937237711718e-12"
"ab_row_temp","Green Sunfish","99","83.0909090909091","39","167","16.8962626262626","0.71","87.9","1.16121705934509e-05","7.32355317520583e-06","1.84121699761695e-05","3.10793394461001","3.00232206285278","3.21354582636724","0.972066115968368","3.55967484260984e-70","2.16138644124939e-77"
"ab_row_temp","Largemouth Bass","49","92.1020408163265","31","217","19.7908163265306","0.4","135.7","1.11814027470345e-05","7.26900945844787e-06","1.71995604223753e-05","3.00763858296613","2.91012282910461","3.10515433682765","0.987682410540727","1.12700843321786e-43","9.51903980967498e-47"
"ab_row_temp","Longnose Dace","859","73.4621653084983","33","154","4.43754365541327","0.2","38","4.73671644365452e-06","4.05586923991048e-06","5.53185552601355e-06","3.15015341819791","3.11383595322493","3.18647088317089","0.97124747010269","0","0"
"ab_row_temp","Margined Madtom","28","98.3928571428571","47","136","12.7239285714286","1","38.9","1.57107927183941e-05","2.65749359045544e-06","9.28803774830723e-05","2.92560261231591","2.53593451453594","3.31527071009588","0.897793366296945","9.98047779239129e-13","1.32205972632242e-14"
"ab_row_temp","Rock Bass","10","77.4","38","116","14.132","1","38.5","9.23520771282695e-06","4.30236683190158e-06","1.98237539548346e-05","3.18313316658086","3.00523318986406","3.36103314329766","0.994738270564944","4.86233316253361e-10","1.31091987533851e-10"
"ab_row_temp","Rosyside Dace","79","46.2784810126582","31","70","0.948101265822785","0.3","3.1","3.19288515104417e-05","1.02539366613954e-05","9.94205047719793e-05","2.66749794114607","2.3706463426645","2.96434953962763","0.803611368808511","1.54435357919243e-29","3.73250007745336e-29"
"ab_row_temp","Sculpin spp.","1701","71.3280423280423","12","131","4.65909229864785","0.01","28.8","7.62496392125885e-06","6.74573651349253e-06","8.61878827970968e-06","3.08904122058781","3.06021057908375","3.11787186209187","0.962931897368739","0","0"
"ab_row_temp","Swallowtail Shiner","25","70.76","42","96","3.4712","0.73","7.7","1.30018770490103e-05","3.17305737107152e-06","5.32763158771677e-05","2.91102871228023","2.57874860262814","3.24330882193233","0.931710342453548","3.05159057180506e-14","4.09607774433978e-15"
"ab_row_temp","Tessellated Darter","398","57.3190954773869","30","85","1.93977386934673","0.3","5.41","1.4230850435359e-05","9.62513863794853e-06","2.10404350244997e-05","2.89870929765417","2.80186255555022","2.99555603975812","0.897111219656218","1.4705256529031e-190","7.2144290985283e-198"
"ab_row_temp","White Sucker","385","133.005194805195","43","370","47.6594805194805","0.5","525.4","8.67193942380651e-06","6.81034834730695e-06","1.10423915980608e-05","3.03450764346067","2.9841604014462","3.08485488547514","0.973382021928727","4.52408853318097e-268","6.60738497886186e-304"
